task_id,pos_x,pos_y,data_size_mbits,start_time_s,deadline_s
39,-122.16364247261522,37.44478511532328,18.145017928343627,0.0,126.05151452720725
34,-122.16342281970402,37.44502271031028,10.926363315554894,0.0,277.4627102387674
5,-122.16357083906968,37.44526490966782,155.2092585553534,0.0,158.55447630409188
33,-122.1642430880395,37.44420462681363,14.78839484557399,0.0,126.10570530288427
40,-122.16429274148184,37.44436536355233,35.46692265449764,0.0,375.2454676174866
27,-122.1632694571572,37.44338794154962,36.8091813604112,0.0,351.6225097983791
32,-122.16510123660656,37.4439447145684,32.883477681488685,0.0,110.15436536865109
41,-122.16492711641224,37.44319612857564,39.067236324402245,0.0,401.3960742877073
25,-122.1640522050927,37.44284895126296,29.473368844463263,0.0,233.8417006287688
15,-122.16422431450178,37.441654535964126,39.5737097304278,0.0,138.78704850005428
4,-122.16327353822405,37.44726829153473,89.23404873368708,0.0,225.6412494374132
16,-122.16374336215634,37.442206433679615,40.168779005364,0.0,378.5220430362303
36,-122.16530697284496,37.442964948580375,47.29075348173493,0.0,284.0464845606372
9,-122.1649531861654,37.44472522963131,305.3726227972074,0.0,272.8931841334148
0,-122.16511854789104,37.44359624869158,343.9801482346967,0.0,340.7671025128599
6,-122.16546520168832,37.44326085794793,364.0478117388375,0.0,107.67805229778448
20,-122.165532741503,37.44426261617737,13.087195841612104,0.0,154.3368508465754
23,-122.16556366420816,37.44462876205206,11.767434288045244,0.0,216.5593987956547
18,-122.16556121070128,37.44153521664347,14.683170700902393,0.0,302.932059416881
37,-122.16491340870336,37.44144154774655,35.5775986000028,0.0,105.3519363178868
44,-122.16490703844796,37.44633503798202,22.96870651510677,0.0,169.84039906530813
28,-122.16377358262424,37.4472082498659,31.126857664714866,0.0,195.61954487729372
29,-122.16350909132872,37.44236128799746,30.42823613404096,0.0,120.09307205053928
1,-122.16001593084556,37.44481145663004,136.36617289028905,0.0,383.53167600205984
2,-122.1603730532032,37.4445414039904,97.96284523168124,0.0,343.9686870347339
3,-122.160587293433,37.44486468855699,169.72878725214343,0.0,104.46689687175922
7,-122.16010457533584,37.44478546252151,310.84625088378857,0.0,412.0710748926039
10,-122.15982452220176,37.44633438528402,26.30305167884201,0.0,202.8494835121623
8,-122.15953706732226,37.4466017255924,191.6982221761347,0.0,117.008165827173
42,-122.15963408734584,37.44604118922113,10.544025075914805,0.0,108.20594339487423
45,-122.15959386420504,37.44666766799989,31.83582325281929,0.0,360.5692562581741
48,-122.15962654721471,37.44568563910012,19.918699994758967,0.0,395.6500782155465
21,-122.15936037479686,37.44634172918117,39.52598882903446,0.0,279.3463941543686
12,-122.15948570930378,37.44340722539203,42.26956864236882,0.0,417.7656387924931
14,-122.15931990041254,37.44207256802826,36.1651603326725,0.0,434.6774024608322
22,-122.1602625358386,37.44327395523979,11.403036436853723,0.0,155.92619330358417
17,-122.16049414331356,37.44321412727645,11.796277708225734,0.0,136.9057568576146
26,-122.16053259627748,37.44231979879204,48.98146814998614,0.0,446.185711812904
30,-122.1609715084504,37.44154259943589,25.01113909477684,0.0,104.68322693217476
35,-122.1610945267739,37.44260328378931,31.94412398367605,0.0,396.8746671588963
19,-122.16088211529552,37.44295155352954,48.90398289755828,0.0,227.9551302437979
